unidade_id,grupamento,vagas,referencia
0716608,bercario,25,2025-07-11
0716608,maternal_1,50,2025-07-11
0716608,maternal_2,75,2025-07-11
0716609,bercario,50,2025-07-11
0716609,maternal_1,50,2025-07-11
0716609,maternal_2,50,2025-07-11
0716610,maternal_1,18,2025-07-11
0716610,maternal_2,50,2025-07-11
0716611,maternal_1,25,2025-07-11
0716611,maternal_2,36,2025-07-11
0716612,maternal_1,50,2025-07-11
0716612,maternal_2,50,2025-07-11
0716613,bercario,25,2025-07-11
0716613,maternal_1,25,2025-07-11
0716613,maternal_2,25,2025-07-11
0716614,bercario,25,2025-07-11
0716614,maternal_1,25,2025-07-11
0716614,maternal_2,25,2025-07-11
0716801,bercario,25,2025-07-11
0716801,maternal_1,45,2025-07-11
0716801,maternal_2,70,2025-07-11
0716802,maternal_1,50,2025-07-11
0716802,maternal_2,100,2025-07-11
0716803,bercario,25,2025-07-11
0716803,maternal_1,25,2025-07-11
0716803,maternal_2,50,2025-07-11
0716804,maternal_1,20,2025-07-11
0716804,maternal_2,40,2025-07-11
0716805,maternal_2,50,2025-07-11
0716806,bercario,25,2025-07-11
0716806,maternal_1,25,2025-07-11
0716806,maternal_2,25,2025-07-11
0716807,bercario,54,2025-07-11
0716807,maternal_1,122,2025-07-11
0716807,maternal_2,150,2025-07-11
0716808,bercario,25,2025-07-11
0716808,maternal_1,50,2025-07-11
0716808,maternal_2,50,2025-07-11
0716809,bercario,25,2025-07-11
0716809,maternal_1,25,2025-07-11
0716809,maternal_2,50,2025-07-11
0716812,bercario,25,2025-07-11
0716812,maternal_1,25,2025-07-11
0716812,maternal_2,50,2025-07-11
0716813,bercario,25,2025-07-11
0716813,maternal_1,25,2025-07-11
0716813,maternal_2,50,2025-07-11
0716814,maternal_1,50,2025-07-11
0716814,maternal_2,50,2025-07-11
0716815,maternal_1,50,2025-07-11
0716815,maternal_2,75,2025-07-11
0716816,maternal_1,25,2025-07-11
0716816,maternal_2,25,2025-07-11
0716818,bercario,50,2025-07-11
0716818,maternal_1,50,2025-07-11
0716818,maternal_2,50,2025-07-11
0716819,bercario,50,2025-07-11
0716819,maternal_1,50,2025-07-11
0716819,maternal_2,50,2025-07-11
0716820,bercario,25,2025-07-11
0716820,maternal_1,25,2025-07-11
0716820,maternal_2,50,2025-07-11
0716821,bercario,25,2025-07-11
0716821,maternal_1,50,2025-07-11
0716821,maternal_2,100,2025-07-11
0716822,bercario,50,2025-07-11
0716822,maternal_1,50,2025-07-11
0716822,maternal_2,50,2025-07-11
0716824,maternal_1,25,2025-07-11
0716824,maternal_2,50,2025-07-11
0724601,bercario,50,2025-07-11
0724601,maternal_1,46,2025-07-11
0724601,maternal_2,46,2025-07-11
0724602,bercario,80,2025-07-11
0724603,maternal_1,25,2025-07-11
0724603,maternal_2,75,2025-07-11
0724604,maternal_1,50,2025-07-11
0724604,maternal_2,50,2025-07-11
0724605,bercario,30,2025-07-11
0724605,maternal_1,50,2025-07-11
0724605,maternal_2,50,2025-07-11
0724606,bercario,40,2025-07-11
0724606,maternal_1,50,2025-07-11
0724606,maternal_2,50,2025-07-11
0724801,bercario,50,2025-07-11
0724801,maternal_1,75,2025-07-11
0724801,maternal_2,75,2025-07-11
0724802,maternal_1,25,2025-07-11
0724802,maternal_2,50,2025-07-11
0724803,maternal_1,50,2025-07-11
0724803,maternal_2,75,2025-07-11
